wahl_jahr;gemeinde_nummer;gemeinde_bezeichnung;kanton_nummer;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;4228;Boswil;19;13;GPS;PES;PES;GPS;781;540;241;6.2933118453;4.1899441341;2.1033677112;0;5
2019;4228;Boswil;19;16;EDU;UDF;UDF;EDU;32;22;10;0.2578565673;0.1707014277;0.0871551396;0;10
2019;4228;Boswil;19;31;GLP;PVL;PVL;GLP;497;243;254;4.0048348106;1.8854748603;2.1193599503;0;6
2019;4228;Boswil;19;32;BDP;PBD;PBD;BDP;345;497;-152;2.780016116;3.8563004345;-1.076284318;0;7
2019;4228;Boswil;19;35;Übrige;Autres;Rimanenti;Others;172;256;-84;1.3859790492;1.9863438858;-0.600364837;0;8
2019;4229;Bünzen;19;1;FDP;PLR;PLR;FDP;468;416;52;7.9754601227;6.8817204301;1.0937396926;0;6
2019;4229;Bünzen;19;2;CVP;PDC;PPD;CVP;673;706;-33;11.468984322;11.679073615;-0.210089293;0;3
2019;4229;Bünzen;19;3;SP;PS;PS;SP;545;637;-92;9.287661895;10.537634409;-1.249972514;0;4
2019;4229;Bünzen;19;4;SVP;UDC;UDC;SVP;2489;3032;-543;42.416496251;50.157154673;-7.740658422;1;1
2019;4229;Bünzen;19;7;EVP;PEV;PEV;EVP;66;37;29;1.1247443763;0.6120760959;0.5126682803;0;10
2019;4229;Bünzen;19;13;GPS;PES;PES;GPS;676;594;82;11.520109066;9.8263027295;1.6938063366;0;2
2019;4229;Bünzen;19;16;EDU;UDF;UDF;EDU;140;57;83;2.3858214042;0.9429280397;1.4428933645;0;8
2019;4229;Bünzen;19;31;GLP;PVL;PVL;GLP;519;174;345;8.8445807771;2.8784119107;5.9661688664;0;5
2019;4229;Bünzen;19;32;BDP;PBD;PBD;BDP;201;320;-119;3.4253578732;5.2936311001;-1.868273227;0;7
2019;4229;Bünzen;19;35;Übrige;Autres;Rimanenti;Others;91;72;19;1.5507839127;1.1910669975;0.3597169152;0;9
2019;4230;Buttwil;19;1;FDP;PLR;PLR;FDP;474;763;-289;7.6885644769;11.307053942;-3.618489465;0;5
2019;4230;Buttwil;19;2;CVP;PDC;PPD;CVP;1001;844;157;16.236820762;12.507409603;3.7294111595;0;2
2019;4230;Buttwil;19;3;SP;PS;PS;SP;616;768;-152;9.9918896999;11.38114997;-1.38926027;0;4
2019;4230;Buttwil;19;4;SVP;UDC;UDC;SVP;2158;2919;-761;35.00405515;43.257261411;-8.253206261;1;1
2019;4230;Buttwil;19;7;EVP;PEV;PEV;EVP;124;115;9;2.0113544201;1.7042086544;0.3071457657;0;9
2019;4230;Buttwil;19;13;GPS;PES;PES;GPS;708;431;277;11.484184915;6.3870776526;5.0971072622;0;3
2019;4230;Buttwil;19;16;EDU;UDF;UDF;EDU;44;52;-8;0.7137064071;0.7705986959;-0.056892289;0;10
2019;4230;Buttwil;19;31;GLP;PVL;PVL;GLP;463;435;28;7.5101378751;6.4463544754;1.0637833997;0;6
2019;4230;Buttwil;19;32;BDP;PBD;PBD;BDP;270;332;-62;4.3795620438;4.9199762893;-0.540414245;0;8
2019;4230;Buttwil;19;35;Übrige;Autres;Rimanenti;Others;307;89;218;4.9797242498;1.3189093065;3.6608149433;0;7
2019;4231;Dietwil;19;1;FDP;PLR;PLR;FDP;389;468;-79;7.0483783294;7.6196678606;-0.571289531;0;3
