gemeinde_bezeichnung;wahlbeteiligung
Corgémont;43.627031651
Cormoret;43.264248705
Cortébert;40.889830508
Courtelary;35.834155972
La Ferrière;32.281553398
Mont-Tramelan;45.871559633
Orvin;36.73245614
Renan (BE);33.753501401
Romont (BE);36.809815951
Saint-Imier;29.947746571
Sonceboz-Sombeval;30.575256107
Sonvilier;30.529953917
Tramelan;39.759407773
Villeret;36.26707132
Sauge;30.756578947
Péry-La Heutte;31.018518519
Brüttelen;44.736842105
Erlach;47.755102041
Finsterhennen;47.813411079
Gals;38.29787234
Gampelen;40.601503759
Ins;51.345668629
Lüscherz;40.326340326
Müntschemier;47.800925926
Siselen;45.708154506
Treiten;55.627009646
Tschugg;50.949367089
Vinelz;47.737226277
Bätterkinden;46.988906498
Diemerswil;57.926829268
Fraubrunnen;53.977128335
Jegenstorf;54.702048417
Iffwil;53.374233129
Mattstetten;50.216450216
Moosseedorf;41.473149492
Münchenbuchsee;46.973158195
Urtenen-Schönbühl;40.652173913
Utzenstorf;46.156156156
Wiggiswil;60.975609756
Wiler bei Utzenstorf;38.639455782
Zielebach;37.959183673
Zuzwil (BE);60.434782609
Adelboden;57.95582179
Aeschi bei Spiez;56.494611458
Frutigen;53.715459298
Kandergrund;47.566718995
Kandersteg;51.38427464
Krattigen;48.639825898
Reichenbach im Kandertal;48.154719659
Beatenberg;48.888888889
Bönigen;41.425619835
Brienz (BE);45.905081898
Brienzwiler;47.619047619
Därligen;40.584415584
Grindelwald;43.060765191
Gsteigwiler;46.496815287
Gündlischwand;36
Habkern;56.479690522
Hofstetten bei Brienz;45.205479452
Interlaken;42.149236531
Iseltwald;45.535714286
Lauterbrunnen;41.501976285
Leissigen;47.037914692
Lütschental;40.425531915
Matten bei Interlaken;41.488241488
Niederried bei Interlaken;40.727272727
Oberried am Brienzersee;38.043478261
Ringgenberg (BE);41.738251642
Saxeten;44.565217391
Schwanden bei Brienz;48.453608247
Unterseen;46.937304828
Wilderswil;45.266425246
Arni (BE);48.051948052
Biglen;48.723404255
Bowil;42.351900973
Brenzikofen;50.956937799
Freimettigen;46.551724138
Grosshöchstetten;53.558052434
Häutligen;50.925925926
Herbligen;50.643776824
Kiesen;49.931972789
Konolfingen;50.294406281
Landiswil;52.51396648
Linden;49.581395349
Mirchel;39.219712526
Münsingen;51.586638831
Niederhünigen;50.463821892
Oberdiessbach;50.585223116
Oberthal;45.571658615
Oppligen;49.328214971
Rubigen;50.419426049
Walkringen;47.216494845
Worb;47.369063606
Zäziwil;48.742903487
Oberhünigen;61.825726141
Allmendingen;61.797752809
Wichtrach;46.389891697
Ferenbalm;50.3125
Frauenkappelen;53.171247357
Gurbrü;61.780104712
Kriechenwil;41.011235955
Laupen;46.338215712
Mühleberg;47.386609071
Münchenwiler;42.602040816
Neuenegg;42.965972575
Wileroltigen;50
Belprahon;43.852459016
Champoz;67.1875
Corcelles (BE);38.823529412
Court;39.275220372
Crémines;39.107611549
Eschert;35.606060606
Grandval;35.971223022
Loveresse;35.496183206
Moutier;39.024918743
Perrefitte;39.457831325
Reconvilier;37.682119205
Roches (BE);37.820512821
Saicourt;40.966386555
Saules (BE);50.406504065
Schelten;25.714285714
Seehof;41.071428571
Sorvilier;33.333333333
Tavannes;33.318014706
Rebévelier;74.285714286
Petit-Val;54.952076677
Valbirse;38.484734263
La Neuveville;38.484509145
Nods;33.553719008
Plateau de Diesse;34.647705236
Aegerten;34.871456823
Bellmund;49.88028731
Brügg;35.625664658
Bühl;44.881889764
Epsach;49.603174603
Hagneck;45.945945946
Hermrigen;39.84375
Jens;55.534709193
Ipsach;44.440677966
Ligerz;59.207459207
Merzligen;47.76119403
Mörigen;52.761627907
Nidau;39.221488732
Orpund;37.088477366
Port;44.058295964
Safnern;45.708446866
Scheuren;38.418079096
Schwadernau;41.550695825
Studen (BE);36.124401914
Sutz-Lattrigen;50.194931774
Täuffelen;47.541723049
Walperswil;48.567708333
Worben;42.257515598
Twann-Tüscherz;49.945828819
Därstetten;57.754800591
Diemtigen;49.005910801
Erlenbach im Simmental;48.995695839
Oberwil im Simmental;60.698027314
Reutigen;50
Spiez;49.723256516
Wimmis;47.968337731
Stocken-Höfen;41.190765492
Guttannen;61.574074074
Hasliberg;43.838862559
Innertkirchen;40.792540793
