gemeinde_bezeichnung;wahlbeteiligung
St. Margrethen;35.419126328
Thal;36.652902599
Widnau;37.649964714
Altstätten;40.263837109
Eichberg;46.772591857
Marbach (SG);45.156591406
Oberriet (SG);42.602040816
Rebstein;38.544061303
Rüthi (SG);46.042670337
Buchs (SG);37.115174246
Gams;45.906163753
Grabs;42.211270624
Sennwald;38.612933458
Sevelen;38.793103448
Wartau;43.177257525
Bad Ragaz;40.08097166
Flums;34.96348047
Mels;42.812336644
Pfäfers;48.961156278
Quarten;41.48257241
Sargans;44.740346205
Vilters-Wangs;46.184250532
Walenstadt;40.480640854
Amden;42.151805453
Benken (SG);41.09922179
Kaltbrunn;36.672051696
Schänis;39.731142644
Weesen;40.390879479
Schmerikon;38.494623656
Uznach;38.57628893
Rapperswil-Jona;44.126604307
Gommiswald;42.714785887
Eschenbach (SG);40.180759804
Ebnat-Kappel;49.076745528
Wildhaus-Alt St. Johann;50.678241997
Nesslau;50.313768918
Hemberg;54.984423676
Lichtensteig;43.114241002
Oberhelfenschwil;51.434878587
Neckertal;43.302180685
Wattwil;44.641550841
Kirchberg (SG);43.828960155
Lütisburg;50.761904762
Mosnang;55.672570608
Bütschwil-Ganterschwil;47.118542849
Degersheim;45.254037022
Flawil;39.803888981
Jonschwil;45.081332301
Oberuzwil;42.961342086
Uzwil;38.267242508
Niederbüren;53.384175405
Niederhelfenschwil;46.569741027
Oberbüren;40.500641849
Zuzwil (SG);50.590318772
Wil (SG);45.680901377
Andwil (SG);49.929478138
Gaiserwald;45.768025078
Gossau (SG);39.294647324
Waldkirch;51.246424193
Vaz/Obervaz;47.555077915
Lantsch/Lenz;47.179487179
Schmitten (GR);41.758241758
Albula/Alvra;38.438133874
Surses;39.438202247
Bergün Filisur;50.151975684
Brusio;40.985442329
Poschiavo;41.987973116
Falera;57.268722467
Laax;45.184025059
Sagogn;51.183970856
Schluein;35.012594458
Vals;43.388429752
Lumnezia;48.277875073
Ilanz/Glion;44.324482054
Fürstenau;50
Rothenbrunnen;52.036199095
Scharans;49.693251534
Sils im Domleschg;41.896024465
Cazis;39.050632911
Flerden;57.062146893
Masein;55.284552846
Thusis;37.738771296
Tschappina;66.981132075
Urmein;64.705882353
Safiental;52.20293725
Domleschg;51.595092025
Avers;51.655629139
Sufers;52.525252525
Andeer;47.014925373
Casti-Wergenstein;70.731707317
Donat;54.320987654
Lohn (GR);73.170731707
Mathon;54
Rongellen;43.58974359
Zillis-Reischen;45.614035088
Ferrera;43.75
Rheinwald;48.305084746
Bonaduz;42.620232172
Domat/Ems;39.193925234
Rhäzüns;41.253791709
Felsberg;46.629526462
Flims;45.340314136
Tamins;46.251441753
Trin;50.142450142
Zernez;51.214953271
Samnaun;32.156862745
Scuol;42.641160136
Valsot;40.11627907
Bever;45.898004435
Celerina/Schlarigna;41.315519013
Madulain;50.37037037
Pontresina;44.1898527
La Punt Chamues-ch;37.715517241
Samedan;41.757105943
St. Moritz;43.661432401
S-chanf;46.473029046
Sils im Engadin/Segl;45.161290323
Silvaplana;35.660091047
Zuoz;49.929278642
Bregaglia;40.346534653
Buseno;60.273972603
Castaneda;35.319148936
Rossa;39.622641509
Santa Maria in Calanca;43.181818182
Lostallo;38.782608696
Mesocco;34.064785789
Soazza;40.408163265
Cama;23.160762943
Grono;31.909845789
Roveredo (GR);35.101789019
San Vittore;33.848797251
Calanca;33.333333333
Val Müstair;43.541835906
Davos;41.838676621
Fideris;45.492662474
Furna;49.358974359
Jenaz;39.908779932
Klosters;43.476874003
Conters im Prättigau;47.878787879
Küblis;37.942664418
Luzein;43.330638642
Chur;42.730482227
Churwalden;41.942446043
Arosa;39.458955224
Maladers;35.866983373
Tschiertschen-Praden;39.50617284
Haldenstein;57.17791411
Trimmis;43.934972905
Untervaz;38.243316967
Zizers;39.051546392
Fläsch;44.549763033
Jenins;49.487554905
Maienfeld;45.729303548
Malans;52.317880795
Landquart;35.269217745
Grüsch;44.971172325
Schiers;37.936593229
Seewis im Prättigau;39.577329491
Breil/Brigels;44.635193133
Disentis/Mustér;48.119325551
Medel (Lucmagn);40.298507463
Sumvitg;59.136546185
Tujetsch;47.520661157
Trun;46.858908342
Obersaxen Mundaun;49.623250807
Aarau;57.109283196
Biberstein;57.872696817
Buchs (AG);45.845272206
Densbüren;45.225225225
Erlinsbach (AG);54.723462728
Gränichen;43.774471417
Hirschthal;44.80349345
Küttigen;55.73049317
Muhen;44.407652686
Oberentfelden;39.768976898
Suhr;46.792114695
Unterentfelden;49.405006155
Baden;54.083590556
Bellikon;52.559726962
Bergdietikon;44.515783842
Birmenstorf (AG);47.25388601
Ennetbaden;65.573770492
Fislisbach;43.437037037
Freienwil;58.425414365
Gebenstorf;44.535270966
Killwangen;39.732888147
Künten;45.070422535
Mägenwil;40.87024087
Mellingen;41.39941691
Neuenhof;34.20084122
Niederrohrdorf;52.028284332
Oberrohrdorf;53.797019163
Obersiggenthal;50.61500615
Remetschwil;51.843971631
Spreitenbach;25.977594589
Stetten (AG);41.880969875
Turgi;44.125326371
Untersiggenthal;49.36919781
Wettingen;49.98407136
Wohlenschwil;45.56097561
Würenlingen;47.283561164
Würenlos;46.956728483
Ehrendingen;48.96124031
Arni (AG);47.903726708
Berikon;46.521189121
Bremgarten (AG);44.103053435
Büttikon;39.72392638
Dottikon;40.772316951
Eggenwil;51.688693098
Fischbach-Göslikon;40.660377358
Hägglingen;47.253396338
Jonen;46.148555708
Niederwil (AG);45.082402977
Oberlunkhofen;50.974930362
Oberwil-Lieli;56.161971831
Rudolfstetten-Friedlisberg;39.399696049
Sarmenstorf;43.885254152
Tägerig;51.768488746
Uezwil;44.47592068
Unterlunkhofen;45.131086142
Villmergen;37.457379445
Widen;51.776649746
Wohlen (AG);42.325968163
Zufikon;46.906866077
Islisberg;52.913752914
Auenstein;51.741716228
Birr;36.749116608
Birrhard;43.228200371
Bözen;47.909407666
Brugg;52.257781675
Effingen;48.341232227
Elfingen;42.794759825
Habsburg;59.574468085
Hausen (AG);46.153846154
Lupfig;47.061589093
Mandach;51.836734694
Mönthal;40.677966102
Mülligen;46.629213483
Remigen;56.147021546
Riniken;56.211180124
Rüfenach;53.611556982
Schinznach-Bad;46.5
Thalheim (AG);50.080256822
Veltheim (AG);42.829076621
Villigen;48.171206226
Villnachern;46.973803071
Windisch;48.639532269
Bözberg;52.683732453
Schinznach;53.358681876
Beinwil am See;48.697137975
Birrwil;49.824970828
Burg (AG);32.310469314
Dürrenäsch;50.964812713
Gontenschwil;43.011478731
Holziken;37.574552684
Leimbach (AG);42.772861357
Leutwil;50.259067358
Menziken;34.479582438
Oberkulm;43.271461717
Reinach (AG);35.065232319
Schlossrued;43.464566929
Schmiedrued;40.787949015
Schöftland;46.510873093
Teufenthal (AG);41.603053435
Unterkulm;40.826446281
Zetzwil;49.635796046
Eiken;34.171195652
Frick;43.195785777
Gansingen;54.012738854
Gipf-Oberfrick;50.934393638
Herznach-Ueken;46.585594013
Hornussen;34.281200632
Kaisten;40.545050056
Laufenburg;45.971802618
Münchwilen (AG);42.238267148
Oberhof;50.502512563
Oeschgen;38.778409091
Schwaderloch;35.280373832
Sisseln;30.371900826
Ueken;40.032948929
Wittnau;53.326509724
Wölflinswil;48.812664908
Zeihen;56.477987421
Mettauertal;46.260387812
Ammerswil;44.190871369
Boniswil;48.452611219
Brunegg;36.911487759
Dintikon;40.311804009
Egliswil;46.428571429
Fahrwangen;37.715517241
Hallwil;39.698492462
Hendschiken;39.675174014
Holderbank (AG);35.436241611
Hunzenschwil;33.638743455
Lenzburg;50.761890103
Meisterschwanden;46.971153846
Möriken-Wildegg;49.097222222
Niederlenz;42.309124767
Othmarsingen;39.406053684
Rupperswil;48.884321785
Schafisheim;45.273377619
Seengen;54.38957476
Seon;45.125
Staufen;51.107531212
Abtwil;39.634146341
Aristau;41.958041958
Auw;39.563862928
Beinwil (Freiamt);46.871310508
Besenbüren;45.995423341
Bettwil;50.440528634
Boswil;42.571582928
Bünzen;51.728907331
Buttwil;45.528455285
Dietwil;40.787949015
Geltwil;49.681528662
Kallern;47.328244275
Merenschwand;48.295454545
Mühlau;41.214470284
Muri (AG);43.72074883
Oberrüti;41.222114452
Rottenschwil;45.96651446
Sins;40.168128655
Waltenschwil;42.322834646
Hellikon;39.800995025
Kaiseraugst;32.772061116
Magden;47.619047619
Möhlin;34.682338938
Mumpf;28.718535469
Obermumpf;40.35326087
Olsberg;50.367647059
Rheinfelden;44.358840428
Schupfart;49.912739965
Stein (AG);36.594663278
Wallbach;43.567874911
Wegenstetten;42.690815006
Zeiningen;41.044776119
Zuzgen;40.15503876
Aarburg;36.349534643
Bottenwil;45.95959596
Brittnau;44.791301298
Kirchleerau;48.465266559
Kölliken;39.382504288
Moosleerau;43.364197531
Murgenthal;38.007010516
Oftringen;33.438313022
Reitnau;49.441340782
Rothrist;36.635579799
Safenwil;36.053054662
Staffelbach;40.066592675
Strengelbach;41.56196944
Uerkheim;40.497512438
Vordemwald;44.932432432
Wiliberg;65
Zofingen;52.556390977
Baldingen;42.564102564
Böbikon;56.488549618
Böttstein;41.641641642
Döttingen;41.214534594
Endingen;53.056234719
Fisibach;43.682310469
Full-Reuenthal;47.916666667
Kaiserstuhl;46.6367713
Klingnau;45.769230769
Koblenz;34.615384615
Leibstadt;44.666666667
Lengnau (AG);50.481798715
Leuggern;50
Mellikon;56.862745098
Rekingen (AG);35.404896422
Rietheim;40.932642487
Rümikon;41.666666667
Schneisingen;48.003629764
Siglistorf;46.666666667
Tegerfelden;42.767295597
Wislikofen;50
Zurzach;42.620809752
Arbon;31.696159865
Dozwil;51.002227171
Egnach;47.260909935
Hefenhofen;38.948626045
Horn;39.748110831
Kesswil;55.945121951
Roggwil (TG);40.481704493
Romanshorn;37.810331534
Salmsach;37.170263789
Sommeri;45.569620253
Uttwil;46.555819477
Amriswil;34.757611394
Bischofszell;41.181364393
Erlen;41.914498141
Hauptwil-Gottshaus;40.711743772
Hohentannen;49.082568807
Kradolf-Schönenberg;42.985208427
Sulgen;40.796645702
Zihlschlacht-Sitterdorf;43.734643735
Basadingen-Schlattingen;42.733699921
Diessenhofen;42.143838754
Schlatt (TG);44.6485623
Aadorf;41.692282802
Felben-Wellhausen;38.73431533
Frauenfeld;44.049602073
Gachnang;43.567349681
Hüttlingen;52.166666667
Matzingen;37.328767123
Neunforn;47.994987469
Stettfurt;51.732101617
Thundorf;49.183477426
Uesslingen-Buch;51.466992665
Warth-Weiningen;50.464396285
Altnau;43.562978427
Bottighofen;48.426150121
Ermatingen;48.746238716
Gottlieben;61.271676301
Güttingen;53.588516746
Kemmental;42.077151335
Kreuzlingen;41.827316275
Langrickenbach;48.948598131
Lengwil;42.79959718
Münsterlingen;44.525547445
Tägerwilen;41.091360066
Wäldi;49.421965318
Affeltrangen;42.999414177
Bettwiesen;36.607142857
Bichelsee-Balterswil;43.330039526
Braunau;53.012048193
Eschlikon;45.597182197
Fischingen;46.191646192
Lommis;47.735191638
Münchwilen (TG);39.811643836
Rickenbach (TG);33.242134063
Schönholzerswilen;48.387096774
Sirnach;38.62083247
Tobel-Tägerschen;42.803030303
Wängi;43.861813695
Wilen (TG);41.375222288
Wuppenau;52.570694087
Berlingen;54.529616725
Eschenz;46.296296296
Herdern;51.392405063
Homburg;53.430924062
Hüttwilen;53.744855967
Mammern;53.246753247
Müllheim;40.990990991
Pfyn;43.020758769
Raperswilen;54.276315789
Salenstein;49.694749695
Steckborn;43.898231997
Wagenhausen;45.462878093
Amlikon-Bissegg;48.580121704
Berg (TG);50.064850843
Birwinken;49.893162393
Bürglen (TG);39.632545932
Bussnang;46.869300912
Märstetten;50.353892821
Weinfelden;46.428571429
Wigoltingen;45.661538462
Arbedo-Castione;46.967699407
Bellinzona;47.897005276
Cadenazzo;42.938254081
Isone;69.055374593
Lumino;62.6953125
Sant'Antonino;49.544863459
Acquarossa;43.112947658
Blenio;48.547717842
Serravalle;50.05387931
Airolo;65.483234714
Bedretto;52.941176471
Bodio;57.466063348
Dalpe;67.532467532
Faido;54.006638217
Giornico;48.15498155
Personico;56.302521008
Pollegio;50.681818182
Prato (Leventina);58.450704225
Quinto;60.606060606
Ascona;49.294980259
Verzasca;44.720496894
Brione sopra Minusio;51.704545455
Brissago;50.843558282
Corippo;46.153846154
Frasco;47.663551402
Gordola;50.795631825
Lavertezzo;44.913151365
Locarno;41.362480935
Losone;45.055192611
Mergoscia;44.943820225
Minusio;51.061173533
Muralto;50.220507166
Orselina;52.983725136
Ronco sopra Ascona;51.658767773
Sonogno;36.470588235
Tenero-Contra;43.716116313
Vogorno;42.687747036
Onsernone;42.78544542
Cugnasco-Gerra;48.979591837
Agno;45.815324165
Aranno;45.98540146
Arogno;54.868421053
Astano;47.674418605
Bedano;51.612903226
Bedigliora;46.833013436
Bioggio;50.781671159
Bissone;53
Brusino Arsizio;50.716332378
Cademario;47.85046729
Cadempino;53.952991453
Canobbio;49.127704117
Caslano;46.726862302
Comano;65.205479452
Croglio;42.578710645
Cureglia;56.262425447
Curio;45.515695067
Grancia;37.966101695
Gravesano;48.837209302
Lamone;47.572815534
Lugano;46.569875058
Magliaso;47.822141561
Manno;55.855855856
Maroggia;52.442159383
Massagno;47.99875892
Melano;45.317919075
Melide;51.221995927
Mezzovico-Vira;57.446808511
Miglieglia;36.842105263
Monteggio;47.892074199
Morcote;53.6159601
Muzzano;72.24137931
Neggio;57.735849057
Novaggio;48.694316436
Origlio;55.694980695
Paradiso;43.802647413
Ponte Capriasca;51.921627732
Tresa;48.111332008
Porza;57.142857143
Pura;56.779661017
Rovio;54.181184669
Savosa;54.952076677
Sessa;48.804780876
Sorengo;54.162679426
Capriasca;50.555114988
Torricella-Taverne;49.211528004
Vernate;44.552058111
Vezia;52.475247525
Vico Morcote;50.934579439
Collina d'Oro;60.58971593
Alto Malcantone;53.923357664
Monteceneri;52.340145023
Balerna;53.020446097
Castel San Pietro;57.067137809
Chiasso;49.211711712
Coldrerio;55.34351145
Mendrisio;55.01630539
Morbio Inferiore;51.963746224
Novazzano;58.620689655
Riva San Vitale;53.854389722
Stabio;49.507227332
Vacallo;55.806299953
Breggia;54.403497814
Biasca;49.458483755
Riviera;48.260335653
Bosco/Gurin;46.666666667
Campo (Vallemaggia);44.262295082
Cerentino;42.553191489
Cevio;50.531286895
Linescio;51.162790698
Maggia;49.095607235
Lavizzara;54.838709677
Avegno Gordevio;52.967625899
Terre di Pedemonte;57.289527721
Centovalli;45.178197065
Gambarogno;43.183082916
Aigle;36.574450773
Bex;39.483989864
Chessel;47.058823529
Corbeyrier;53.86996904
Gryon;44.831880448
Lavey-Morcles;38.360655738
Leysin;39.322736697
Noville;40.332326284
Ollon;47.391623806
Ormont-Dessous;43.908629442
Ormont-Dessus;47.537473233
Rennaz;26.943005181
Roche (VD);31.481481481
Villeneuve (VD);36.145454545
Yvorne;48.26147427
Apples;47.523709168
Aubonne;49.89059081
Ballens;51.506024096
Berolle;44.230769231
Bière;40.290178571
Bougy-Villars;51.094890511
Féchy;54.132231405
Gimel;38.366718028
Longirod;49.068322981
Marchissy;41.139240506
Mollens (VD);42.995169082
Montherod;38.951310861
Saint-George;46.021840874
Saint-Livres;50
Saint-Oyens;47.509578544
Saubraz;39.484978541
Avenches;35.83221776
Cudrefin;35.528596187
Faoug;36.440677966
Vully-les-Lacs;37.314697162
Bettens;38.50129199
Bournens;46.218487395
Boussens;40.428790199
La Chaux (Cossonay);45.353159851
Chavannes-le-Veyron;59.375
Chevilly;50.925925926
Cossonay;42.671538774
Cottens (VD);46.540880503
Cuarnens;45.045045045
Daillens;46.367851623
Dizy;44.512195122
Eclépens;44.163150492
Ferreyres;56.422018349
Gollion;46.056782334
Grancy;55
L'Isle;40.525587828
Lussery-Villars;41.935483871
Mauraz;61.363636364
Mex (VD);39.635535308
Moiry;54.347826087
Mont-la-Ville;47.400611621
Montricher;52.702702703
Orny;43.75
Pampigny;42.913385827
Penthalaz;35.981062599
Penthaz;40.301318267
Pompaples;36.755646817
La Sarraz;40.845070423
Senarclens;46.296296296
Sévery;39.285714286
Sullens;40.783744557
Vufflens-la-Ville;47.806004619
Assens;45.006839945
Bercher;43.757575758
Bioley-Orjulaz;47.839506173
Bottens;42.523364486
Bretigny-sur-Morrens;46.972477064
Cugy (VD);46.520376176
Echallens;41.463414634
Essertines-sur-Yverdon;44.152046784
Etagnières;39.424460432
Fey;40.688259109
Froideville;47.175480769
Morrens (VD);46.016483516
Oulens-sous-Echallens;51.612903226
Pailly;44.8
Penthéréaz;49.342105263
Poliez-Pittet;42.5
Rueyres;58.888888889
Saint-Barthélemy (VD);39.685314685
Villars-le-Terroir;42.540073983
Vuarrens;40.536277603
Montilliez;44.728171334
Goumoëns;46.540027137
Bonvillars;48.760330579
Bullet;49.612403101
Champagne;38.438880707
Concise;45.468277946
Corcelles-près-Concise;46.181818182
Fiez;46.278317152
Fontaines-sur-Grandson;38.888888889
Giez;46.043165468
Grandevent;46.706586826
Grandson;41.130514706
Mauborget;56.701030928
Mutrux;44.537815126
Novalles;56.338028169
Onnens (VD);43.695014663
Provence;41.868512111
Sainte-Croix;42.247466994
Tévenon;45.43946932
Belmont-sur-Lausanne;46.962305987
Cheseaux-sur-Lausanne;40.410447761
Crissier;37.887845147
Epalinges;49.180025797
Jouxtens-Mézery;53.463203463
Lausanne;39.724503634
Le Mont-sur-Lausanne;42.996418623
Paudex;45.885005637
Prilly;37.397283247
Pully;49.165315272
Renens (VD);34.019138756
Romanel-sur-Lausanne;39.422135162
Chexbres;47.129695252
Forel (Lavaux);45.703703704
Lutry;49.141429909
Puidoux;46.231792274
Rivaz;57.551020408
Saint-Saphorin (Lavaux);56.277056277
Savigny;49.808978032
Bourg-en-Lavaux;53.674121406
Aclens;46.394984326
Bremblens;47.297297297
Buchillon;57.175925926
Bussigny;39.072847682
Bussy-Chardonney;58.208955224
Chavannes-près-Renens;33.555481506
Chigny;48.780487805
Clarmont;38.13559322
Denens;52.380952381
Denges;46.585903084
Echandens;47.550251256
Echichens;49.390862944
Ecublens (VD);35.104698223
Etoy;47.443365696
Lavigny;48.044692737
Lonay;46.730653869
Lully (VD);49.162011173
Lussy-sur-Morges;51.168224299
Morges;44.305588305
Préverenges;42.911479945
Reverolle;49.618320611
Romanel-sur-Morges;50.759878419
Saint-Prex;43.175487465
Saint-Sulpice (VD);52.464616886
Tolochenaz;48.330241187
Vaux-sur-Morges;68.548387097
Villars-Sainte-Croix;44.097222222
Villars-sous-Yens;49.388753056
Vufflens-le-Château;54.706927176
Vullierens;51.470588235
Yens;51.525821596
Boulens;46.992481203
Bussy-sur-Moudon;44.230769231
Chavannes-sur-Moudon;55
Curtilles;47.111111111
Dompierre (VD);53.631284916
Hermenches;48
Lovatens;45.045045045
Lucens;39.933206107
Moudon;45.479345284
Ogens;42.487046632
Prévonloup;39.552238806
Rossenges;54.347826087
Syens;49.473684211
Villars-le-Comte;46.464646465
Vucherens;51.058201058
Montanaire;46.284153005
Arnex-sur-Nyon;46.376811594
Arzier-Le Muids;46.593830334
Bassins;46.707317073
Begnins;42.234332425
Bogis-Bossey;38.949671772
Borex;45.44
Chavannes-de-Bogis;35.368956743
Chavannes-des-Bois;41.913439636
Chéserex;46.027742749
Coinsins;44.164037855
Commugny;47.062986553
Coppet;46.349413299
Crans;46.335504886
Crassier;38.578680203
Duillier;41.842900302
Eysins;38.565022422
Founex;43.961927424
Genolier;52.062328139
Gingins;48.484848485
Givrins;49.828178694
Gland;37.202072539
Grens;49.593495935
Mies;41.860465116
Nyon;39.020415988
Prangins;43.854258121
La Rippe;44.674556213
Saint-Cergue;33.612273361
Signy-Avenex;44.76744186
Tannay;48.205128205
Trélex;53.234960272
Le Vaud;45.793269231
Vich;35.73943662
L'Abergement;53.888888889
Agiez;46.511627907
Arnex-sur-Orbe;51.473922902
Ballaigues;43.926553672
Baulmes;45.504840941
Bavois;42.253521127
Bofflens;49.342105263
Bretonnières;52.459016393
Chavornay;36.856277348
Les Clées;58.015267176
Croy;45.333333333
Juriens;45.418326693
Lignerolle;48.581560284
Montcherand;42.342342342
Orbe;35.31598513
La Praz;47.154471545
Premier;53.594771242
Rances;55.23255814
Romainmôtier-Envy;53.116531165
Sergey;48.514851485
Valeyres-sous-Rances;48.969072165
Vallorbe;36.7695962
Vaulion;42.329545455
Vuiteboeuf;38.481675393
Corcelles-le-Jorat;60
Essertes;51.394422311
Maracon;51.841359773
Montpreveyres;43.256997455
Ropraz;43.046357616
Servion;45.329249617
Vulliens;51.105651106
Jorat-Menthue;46.182846371
Oron;42.405618964
Jorat-Mézières;45.531914894
Champtauroz;47.777777778
Chevroux;40.599455041
Corcelles-près-Payerne;41.902834008
Grandcour;43.042071197
Henniez;34.615384615
Missy;51.62601626
Payerne;35.260115607
Trey;40.211640212
Treytorrens (Payerne);50.632911392
Villarzel;42.207792208
Valbroye;42.328835582
Château-d'Oex;39.389534884
Rossinière;37.466307278
Rougemont;39.387308534
Allaman;41.245136187
Bursinel;42.652329749
Bursins;46.169772257
Burtigny;44.827586207
Dully;52.108433735
Essertines-sur-Rolle;48.441247002
Gilly;47.112860892
Luins;41.964285714
Mont-sur-Rolle;44.02211472
Perroy;49.210206561
Rolle;43.537906137
Tartegnin;54.411764706
Vinzel;45.25862069
L'Abbaye;46.251217137
Le Chenit;41.547277937
Le Lieu;51.729818781
Blonay - Saint-Légier;46.661470512
Chardonne;48.85177453
Corseaux;52.30125523
Corsier-sur-Vevey;41.901776385
Jongny;51.680672269
Montreux;38.66161824
Saint-Légier-La Chiésaz;50.221238938
La Tour-de-Peilz;44.269695646
Vevey;38.947593126
Veytaux;38.104448743
Belmont-sur-Yverdon;45.2
Bioley-Magnoux;56.593406593
Chamblon;46.86716792
Champvent;45.227272727
Chavannes-le-Chêne;38.938053097
Chêne-Pâquier;53.465346535
Cheseaux-Noréaz;54.378818737
Cronay;52.142857143
Cuarny;45.402298851
Démoret;63.793103448
Donneloye;42.589437819
Ependes (VD);44.444444444
Mathod;45.605700713
Molondin;50.303030303
Montagny-près-Yverdon;44.094488189
Oppens;49.579831933
Orges;40.277777778
Orzens;59.74025974
Pomy;49.636363636
Rovray;64.227642276
Suchy;46.115288221
Suscévaz;44.936708861
Treycovagnes;40.557275542
Ursins;41.558441558
Valeyres-sous-Montagny;44.12371134
Valeyres-sous-Ursins;56.451612903
Villars-Epeney;60.563380282
Vugelles-La Mothe;38.202247191
Yverdon-les-Bains;38.063799189
Yvonand;39.482758621
Brig-Glis;55.824557594
Eggerberg;65.957446809
Naters;63.047382235
Ried-Brig;62.85338593
Simplon;70.114942529
Termen;63.259668508
Zwischbergen;57.692307692
Ardon;49.916247906
Chamoson;54.182804028
Conthey;51.392681595
Nendaz;57.212249208
Vétroz;50.707988245
Val de Bagnes;44.759206799
Bourg-Saint-Pierre;72
Liddes;60.329067642
Orsières;61.069767442
Sembrancher;52.167630058
Vollèges;52.419955324
Bellwald;48.014440433
Binn;51.886792453
Ernen;60.442260442
Fiesch;52.761627907
Fieschertal;61.904761905
Lax;66.055045872
Obergoms;63.636363636
Goms;60.64171123
Ayent;62.07250342
Evolène;70.327102804
Hérémence;64.427217916
Saint-Martin (VS);66.865671642
Vex;58.782742681
Noble-Contrée;59.027777778
Agarn;69.190140845
Albinen;53.5
Ergisch;85.350318471
Inden;48.571428571
Leuk;67.590319186
Leukerbad;55.03875969
Oberems;50.925925926
Salgesch;70.98540146
Varen;59.96131528
Guttet-Feschel;62.917933131
Gampel-Bratsch;73.288135593
Turtmann-Unterems;72.147239264
Bovernier;55.12195122
Charrat;48.956356736
Fully;54.817569961
Isérables;56.515151515
Leytron;55.998189226
Martigny;47.18052348
Martigny-Combe;52.466091245
Riddes;52.476864453
Saillon;56.684179802
Saxon;42.506650902
Trient;48.695652174
Champéry;60.092807425
Collombey-Muraz;40.301763316
Monthey;44.826184184
Port-Valais;40.574662603
Saint-Gingolph;46.023688663
Troistorrents;52.502274795
Val-d'Illiez;54.936896808
Vionnaz;44.758064516
Vouvry;41.800908715
Bister;67.857142857
Bitsch;57.392473118
Grengiols;55.425219941
Riederalp;67.301587302
Ausserberg;71.686746988
Blatten;79.310344828
Bürchen;61.881188119
Eischoll;70.350404313
Ferden;70.183486239
Kippel;78.417266187
Niedergesteln;64.727272727
Raron;62.879884226
Unterbäch;57.584269663
Wiler (Lötschen);81.235154394
Mörel-Filet;59.9609375
Steg-Hohtenn;73.067119796
Bettmeralp;50.613496933
Collonges;44.92481203
Dorénaz;51.131221719
Evionnaz;48.90776699
Finhaut;55.111111111
Massongex;51.314673452
Saint-Maurice;52.941176471
Salvan;62.88372093
Vernayaz;50.985432734
Vérossaz;60.37037037
Chalais;53.398470688
Chippis;58.00807537
Grône;53.608247423
Icogne;53.015075377
Lens;61.365494685
Miège;64.262648009
Saint-Léonard;61.448741559
Sierre;52.604488367
Venthône;66.630669546
Veyras;70.180959874
Anniviers;59.946380697
Crans-Montana;58.049040512
Arbaz;62.472885033
Grimisuat;60.051216389
Savièse;64.134118067
Sion;51.740604556
Veysonnaz;61.845386534
Baltschieder;59.20084122
Eisten;66.666666667
Embd;60.344827586
Grächen;50.572320499
Lalden;66.804123711
Randa;63.157894737
Saas-Almagell;79.442508711
Saas-Balen;70.181818182
Saas-Fee;63.459459459
Saas-Grund;68.915343915
St. Niklaus;53.614457831
Stalden (VS);64.624277457
Staldenried;73.626373626
Täsch;46.31147541
Törbel;76.674937965
Visp;54.721786834
Visperterminen;67.962085308
Zeneggen;63.255813953
Zermatt;47.773138483
Boudry;35.366859027
Corcelles-Cormondrèche;48.017621145
Cortaillod;39.840255591
Peseux;36.138613861
Rochefort;47.927199191
Milvignes;44.033998039
La Grande Béroche;41.233873635
La Chaux-de-Fonds;37.336419478
Les Planchettes;51.552795031
La Sagne;43.583815029
Les Brenets;42.208588957
La Brévine;49.808429119
Brot-Plamboz;46.859903382
Le Cerneux-Péquignot;48.529411765
La Chaux-du-Milieu;51.861702128
Le Locle;38.417018614
Les Ponts-de-Martel;50.457782299
Cornaux;38.147410359
Cressier (NE);43.846153846
Enges;52.06185567
Hauterive (NE);46.428571429
Le Landeron;39.84
Lignières;42.228739003
Neuchâtel;41.038778381
Saint-Blaise;49.519890261
La Tène;40.623994854
Valangin;44.876325088
Val-de-Ruz;41.670302819
La Côte-aux-Fées;46.315789474
Les Verrières;29.107142857
Val-de-Travers;32.90186237
Aire-la-Ville;49.79757085
Anières;52.3158694
Avully;39.024390244
Avusy;47.205588822
Bardonnex;49.180327869
Bellevue;41.771356784
Bernex;43.74019454
Carouge (GE);40.363091566
Cartigny;53.422370618
Céligny;44.230769231
Chancy;36.963350785
Chêne-Bougeries;45.209672482
Chêne-Bourg;38.640996602
Choulex;51.56462585
Collex-Bossy;49.555555556
Collonge-Bellerive;48.948046372
Cologny;47.046487242
Confignon;47.255291005
Corsier (GE);49.306122449
Dardagny;38.77159309
Genève;39.615149311
Genthod;47.791694133
Le Grand-Saconnex;36.167094174
Gy;49.83277592
Hermance;47.098976109
Jussy;44.62915601
Laconnex;52.192066806
Lancy;36.120642947
Meinier;43.889716841
Meyrin;33.414195867
Onex;35.733443367
Perly-Certoux;40.578918624
Plan-les-Ouates;41.852378694
Pregny-Chambésy;47.849106552
Presinge;47.161572052
Puplinge;45.83610926
Russin;52.710843373
Satigny;45.849297573
Soral;47.602739726
Thônex;40.643544771
Troinex;53.422904671
Vandoeuvres;52.423822715
Vernier;33.281035497
Versoix;37.330943458
Veyrier;46.417537149
Boécourt;41.39941691
Bourrignon;51.502145923
Châtillon (JU);48.179271709
Courchapoix;41.975308642
Courrendlin;38.127240143
Courroux;39.657444005
Courtételle;39.576547231
Delémont;41.481192243
Develier;42.648592284
Ederswiler;35
